actual,predicted
11936.0,12418.566
11846.0,12284.55
11793.0,12162.973
11799.0,12089.975
12622.0,12607.321
12910.0,12878.33
13059.0,13261.337
12896.0,13445.898
12602.0,13256.491
12183.0,12772.967
11584.0,12279.328
11087.0,11840.6
10785.0,11433.586
10438.0,11157.791
10343.0,11111.6
10370.0,11268.253
10606.0,11501.977
10976.0,11708.0205
11353.0,12151.894
11911.0,12646.411
12096.0,12935.895
12049.0,12922.008
11873.0,12646.793
11936.0,12419.812
11846.0,12281.944
11793.0,12174.54
11799.0,12101.288
11946.0,12039.032
12910.0,12966.119
13059.0,13226.433
12896.0,13404.322
12602.0,13287.628
12183.0,12834.681
11584.0,12217.257
11087.0,11727.11
10785.0,11451.69
10438.0,11323.108
10343.0,11258.303
10370.0,11283.637
10606.0,11475.654
10976.0,11855.428
11353.0,12255.887
11911.0,12671.575
12096.0,12893.551
12049.0,12912.338
11873.0,12760.682
11936.0,12481.276
11846.0,12293.108
11793.0,12226.833
11799.0,12154.992
11946.0,12162.084
12642.0,12268.124
13059.0,13322.506
12896.0,13362.137
12602.0,13240.431
12183.0,12854.677
11584.0,12238.078
11087.0,11673.298
10785.0,11371.662
10438.0,11299.543
10343.0,11380.043
10370.0,11468.874
10606.0,11582.6455
10976.0,11884.402
11353.0,12396.843
11911.0,12799.561
12096.0,12967.273
12049.0,12876.845
11873.0,12712.517
11936.0,12529.6455
11846.0,12326.867
11793.0,12228.767
11799.0,12253.3955
11946.0,12254.667
12642.0,12444.091
13181.0,12790.329
12896.0,13183.793
12602.0,12920.785
12183.0,12552.413
11584.0,12062.454
11087.0,11511.552
10785.0,11165.098
10438.0,11067.23
10343.0,11092.548
10370.0,11272.218
10606.0,11536.546
10976.0,11861.149
11353.0,12283.205
11911.0,12739.345
12096.0,12940.474
12049.0,12868.776
11873.0,12661.233
11936.0,12478.802
11846.0,12307.204
11793.0,12141.116
11799.0,12119.726
11946.0,12290.356
12642.0,12496.55
13181.0,12889.397
13119.0,13249.714
12602.0,12661.288
12183.0,12126.356
11584.0,11630.092
11087.0,11230.852
10785.0,10898.8125
10438.0,10735.214
10343.0,10727.752
10370.0,10866.67
10606.0,11227.395
10976.0,11696.313
11353.0,12142.276
11911.0,12503.436
12096.0,12750.311
12049.0,12765.102
11873.0,12591.322
11936.0,12397.087
11846.0,12281.584
11793.0,12183.654
11799.0,12065.994
11946.0,12129.342
12642.0,12485.194
13181.0,12932.805
13119.0,13316.065
12895.0,13361.662
12183.0,12198.592
11584.0,11550.993
11087.0,11087.249
10785.0,10822.5205
10438.0,10645.918
10343.0,10607.959
10370.0,10734.522
10606.0,11079.676
10976.0,11641.788
11353.0,12152.309
11911.0,12430.732
12096.0,12560.587
12049.0,12624.344
11873.0,12546.401
11936.0,12330.904
11846.0,12155.985
11793.0,12087.266
11799.0,12086.089
11946.0,12120.644
12642.0,12409.803
13181.0,12919.793
13119.0,13299.582
12895.0,13358.372
12332.0,13081.855
11584.0,11721.227
11087.0,11232.395
10785.0,10925.901
10438.0,10728.742
10343.0,10659.282
10370.0,10799.57
10606.0,11123.569
10976.0,11613.233
11353.0,12191.961
11911.0,12525.899
12096.0,12528.959
12049.0,12474.816
11873.0,12441.821
11936.0,12306.848
11846.0,12101.538
11793.0,11967.071
11799.0,11939.918
11946.0,12126.786
12642.0,12453.675
13181.0,12891.342
13119.0,13224.479
12895.0,13277.088
12332.0,12999.6455
11849.0,12530.772
11087.0,11258.101
10785.0,11018.671
10438.0,10833.508
10343.0,10652.546
10370.0,10735.225
10606.0,11126.72
10976.0,11601.657
11353.0,12052.799
11911.0,12502.188
12096.0,12662.255
12049.0,12486.805
11873.0,12329.203
11936.0,12295.057
11846.0,12191.239
11793.0,12007.331
11799.0,11899.878
11946.0,12067.143
12642.0,12615.325
13181.0,13087.231
13119.0,13232.624
12895.0,13133.117
12332.0,12952.076
11849.0,12538.705
11373.0,12028.89
10785.0,10907.936
10438.0,10847.742
10343.0,10719.445
10370.0,10623.162
10606.0,10966.439
10976.0,11583.494
11353.0,12045.301
11911.0,12303.448
12096.0,12580.431
12049.0,12642.406
11873.0,12401.656
11936.0,12215.019
11846.0,12217.147
11793.0,12175.8955
11799.0,12056.815
11946.0,12078.96
12642.0,12551.354
13181.0,13366.878
13119.0,13676.085
12895.0,13296.179
12332.0,12796.741
11849.0,12519.89
11373.0,12126.877
10996.0,11756.986
10438.0,10763.681
10343.0,10781.455
10370.0,10701.613
10606.0,10804.921
10976.0,11445.796
11353.0,12133.143
11911.0,12412.378
12096.0,12442.387
12049.0,12555.391
11873.0,12546.38
11936.0,12315.308
11846.0,12163.237
11793.0,12154.576
11799.0,12140.149
11946.0,12201.017
12642.0,12509.61
13181.0,13152.666
13119.0,13835.417
12895.0,13805.184
12332.0,13136.53
11849.0,12474.033
11373.0,12154.07
10996.0,11849.87
10967.0,11724.369
